2024-10-21 03:41, success, 1.143272
2024-10-21 03:51, success, 1.066394
2024-10-21 03:59, success, 1.066328
2024-10-21 04:23, success, 1.312166
2024-10-21 04:38, success, 1.320302
2024-10-21 04:47, success, 1.142934
2024-10-21 04:54, success, 1.130253
2024-10-21 05:11, success, 1.124009
2024-10-21 05:30, success, 1.076366
2024-10-21 05:42, success, 1.105318
2024-10-21 05:49, success, 1.305185
2024-10-21 05:57, success, 1.066608
2024-10-21 06:22, success, 1.105634
2024-10-21 06:43, success, 1.179979
2024-10-21 06:52, success, 1.121285
2024-10-21 06:59, success, 1.123145
2024-10-21 07:19, success, 1.093503
2024-10-21 07:32, success, 1.143628
2024-10-21 07:40, success, 1.316888
2024-10-21 07:48, success, 1.106217
2024-10-21 07:55, success, 1.306648
2024-10-21 08:16, success, 1.115475
2024-10-21 08:37, success, 1.134647
2024-10-21 08:49, success, 1.136144
2024-10-21 08:56, success, 1.133213
2024-10-21 09:16, success, 1.087559
2024-10-21 09:32, success, 1.125832
2024-10-21 09:42, success, 1.090983
2024-10-21 09:49, success, 1.069820
2024-10-21 09:57, success, 1.329252
2024-10-21 10:17, success, 1.295947
2024-10-21 10:39, success, 1.155033
2024-10-21 10:49, success, 1.385179
2024-10-21 10:56, success, 1.058700
2024-10-21 11:12, success, 1.152430
2024-10-21 11:26, success, 1.115631
2024-10-21 11:35, success, 1.111834
2024-10-21 11:43, success, 1.336843
2024-10-21 11:50, success, 1.036296
2024-10-21 11:58, success, 1.059920
2024-10-21 12:33, success, 1.333499
2024-10-21 13:02, success, 5.335230
2024-10-21 13:32, success, 1.072833
2024-10-21 13:44, success, 1.138607
2024-10-21 13:52, success, 1.304678
2024-10-21 13:59, success, 1.153358
2024-10-21 14:18, success, 1.098122
